location_id,location_slug,location_name,quarter,avg_price_sqft,demand_index,supply_index,selling_days,rental_yield,inventory_units,transactions_count
8,sholinganallur,Sholinganallur,2025-Q3,5897,71,73,105,4.39,3539,880
8,sholinganallur,Sholinganallur,2025-Q4,6041,71,76,113,4.4,3649,852
8,sholinganallur,Sholinganallur,2026-Q1,6049,72,77,103,4.4,3669,853
8,sholinganallur,Sholinganallur,2026-Q2,6106,71,81,97,4.45,3950,821
9,ecr,ECR (East Coast Road),2023-Q3,7911,68,49,88,3.14,2440,830
9,ecr,ECR (East Coast Road),2023-Q4,8148,70,50,88,3.22,2339,851
9,ecr,ECR (East Coast Road),2024-Q1,8134,68,53,91,3.18,2602,800
9,ecr,ECR (East Coast Road),2024-Q2,8315,70,51,91,3.14,2494,837
9,ecr,ECR (East Coast Road),2024-Q3,8332,71,51,86,3.12,2478,833
9,ecr,ECR (East Coast Road),2024-Q4,8638,65,55,91,3.2,2613,786
9,ecr,ECR (East Coast Road),2025-Q1,8600,71,52,90,3.18,2493,857
9,ecr,ECR (East Coast Road),2025-Q2,8570,66,53,91,3.19,2545,797
9,ecr,ECR (East Coast Road),2025-Q3,8790,67,52,87,3.22,2411,819
9,ecr,ECR (East Coast Road),2025-Q4,8999,70,54,95,3.25,2500,821
9,ecr,ECR (East Coast Road),2026-Q1,9021,69,53,88,3.21,2506,819
9,ecr,ECR (East Coast Road),2026-Q2,9071,67,49,87,3.25,2305,843
10,perungudi,Perungudi,2023-Q3,6261,77,58,74,4.47,2790,962
10,perungudi,Perungudi,2023-Q4,6330,79,59,72,4.59,2801,975
10,perungudi,Perungudi,2024-Q1,6490,76,61,75,4.53,2849,901
10,perungudi,Perungudi,2024-Q2,6538,77,61,73,4.43,2947,933
10,perungudi,Perungudi,2024-Q3,6703,79,62,73,4.5,2893,954
10,perungudi,Perungudi,2024-Q4,6793,78,57,69,4.55,2734,946
10,perungudi,Perungudi,2025-Q1,6896,77,62,70,4.5,2953,917
10,perungudi,Perungudi,2025-Q2,6989,77,59,76,4.46,2823,917
10,perungudi,Perungudi,2025-Q3,7233,77,62,68,4.51,3020,925
10,perungudi,Perungudi,2025-Q4,7329,76,63,79,4.48,3002,934
10,perungudi,Perungudi,2026-Q1,7491,76,59,71,4.43,2786,897
10,perungudi,Perungudi,2026-Q2,7442,77,60,77,4.45,2929,921
11,adyar,Adyar,2023-Q3,13370,89,36,43,2.61,1753,1072
11,adyar,Adyar,2023-Q4,13914,87,37,40,2.57,1744,1062
11,adyar,Adyar,2024-Q1,13984,87,36,43,2.57,1760,1047
11,adyar,Adyar,2024-Q2,13786,91,42,40,2.58,2030,1097
11,adyar,Adyar,2024-Q3,14305,92,38,40,2.53,1787,1104
11,adyar,Adyar,2024-Q4,14687,87,38,42,2.66,1950,1036
11,adyar,Adyar,2025-Q1,14577,90,39,48,2.63,1854,1089
11,adyar,Adyar,2025-Q2,15037,90,39,45,2.66,1941,1090
11,adyar,Adyar,2025-Q3,15073,88,40,40,2.62,1900,1056
11,adyar,Adyar,2025-Q4,15525,88,38,38,2.64,1856,1088
11,adyar,Adyar,2026-Q1,15515,88,38,47,2.6,1838,1065
11,adyar,Adyar,2026-Q2,15829,87,38,45,2.55,1831,1033
12,t-nagar,T. Nagar,2023-Q3,12783,82,35,46,3.48,1677,976
12,t-nagar,T. Nagar,2023-Q4,13057,82,32,46,3.37,1485,995
12,t-nagar,T. Nagar,2024-Q1,13033,84,33,48,3.43,1579,1036
12,t-nagar,T. Nagar,2024-Q2,13049,82,35,45,3.41,1668,989
12,t-nagar,T. Nagar,2024-Q3,13214,88,36,48,3.42,1751,1065
12,t-nagar,T. Nagar,2024-Q4,13636,86,39,46,3.44,1868,1054
12,t-nagar,T. Nagar,2025-Q1,13679,89,36,41,3.41,1694,1081
12,t-nagar,T. Nagar,2025-Q2,13881,84,32,44,3.28,1457,1019
12,t-nagar,T. Nagar,2025-Q3,14286,86,34,45,3.4,1574,1055
12,t-nagar,T. Nagar,2025-Q4,14506,85,36,46,3.3,1716,1010
12,t-nagar,T. Nagar,2026-Q1,14442,84,40,47,3.37,1949,1029
12,t-nagar,T. Nagar,2026-Q2,14937,85,35,47,3.42,1725,1030
