id,title,location_id,location_name,location_slug,city,property_type,area_sqft,bedrooms,bathrooms,property_age,floor_number,total_floors,amenities,amenity_count,has_parking,has_power_backup,has_security,has_gym,has_pool,has_clubhouse,lat,lng,base_micro_price_sqft,fair_value_sqft,fair_value_total,current_price,monthly_rent,rental_yield,infra_score,flood_risk_score,demand_index,supply_index,selling_days,status,listed_date
14,3 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,1728,3,3,7,2,7,"[""Covered Car Parking""]",1,True,False,False,False,False,False,12.99084,80.26579,15800,14967,25862976,24828457,56036,2.6,93,38,88,38,42,Active,2026-02-19
15,3 BHK Villa in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Villa,4784,3,3,3,1,2,"[""Swimming Pool"", ""Covered Car Parking""]",2,True,False,False,False,True,False,13.08282,80.19334,14200,16527,79065168,75902561,184485,2.8,94,22,86,42,48,Active,2026-03-22
16,2 BHK Gated Community Apartment in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Gated Community Apartment,917,2,2,15,19,22,"[""EV Charging Station"", ""Children Play Area"", ""Power Backup""]",3,False,True,False,False,False,False,12.88855,80.22448,6100,6028,5527676,5306569,20268,4.4,84,62,72,78,105,Sold,2026-04-12
17,3 BHK Independent House in Medavakkam,7,Medavakkam,medavakkam,Chennai,Independent House,1321,3,3,22,1,3,"[""Swimming Pool""]",1,False,False,False,False,True,False,12.92267,80.19718,5400,3899,5150579,5253591,17169,4.0,80,52,82,64,70,Active,2026-07-28
18,2 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,947,2,2,4,15,21,"[""Clubhouse"", ""24/7 Security"", ""EV Charging Station"", ""Gymnasium""]",4,False,False,True,True,False,True,12.97896,80.22464,7800,8628,8170716,7843887,31321,4.6,82,78,79,62,75,Active,2026-07-28
19,2 BHK Independent House in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Independent House,1160,2,2,9,1,1,"[""Children Play Area"", ""EV Charging Station""]",2,False,False,False,False,False,False,12.85804,80.24238,9200,8350,9686000,9879720,25829,3.2,75,68,69,52,90,Sold,2026-04-02
20,2 BHK Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Apartment,1049,2,2,9,8,12,"[""Intercom"", ""EV Charging Station"", ""Clubhouse"", ""Gymnasium""]",4,False,False,False,True,False,True,12.93072,80.12792,5100,4829,5065621,5065621,16041,3.8,79,32,84,54,60,Sold,2026-01-19
21,2 BHK Apartment in T. Nagar,12,T. Nagar,t-nagar,Chennai,Apartment,1232,2,2,1,1,14,"[""EV Charging Station"", ""Intercom"", ""Clubhouse"", ""Swimming Pool"", ""24/7 Security""]",5,False,False,True,False,True,True,13.03352,80.23258,14800,15684,19322688,18549780,54748,3.4,95,40,85,36,45,Active,2026-01-20
22,3 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,1520,3,3,7,5,7,"[""Rainwater Harvesting"", ""Swimming Pool"", ""Gymnasium"", ""Power Backup"", ""Covered Car Parking""]",5,True,True,False,True,True,False,12.98323,80.22397,7800,7936,12062720,12665856,46240,4.6,82,78,79,62,75,Active,2026-03-09
23,3 BHK Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Apartment,1601,3,2,4,7,12,"[""EV Charging Station"", ""Covered Car Parking"", ""Gymnasium""]",3,True,False,False,True,False,False,13.1085,80.20313,14200,13211,21150811,20304779,49352,2.8,94,22,86,42,48,Active,2026-05-04
24,2 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,1109,2,2,11,3,12,"[""Power Backup""]",1,False,True,False,False,False,False,12.98477,80.21288,7800,7046,7814014,7814014,29954,4.6,82,78,79,62,75,Sold,2026-04-27
25,3 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,1906,3,2,3,10,21,"[""24/7 Security"", ""Gymnasium""]",2,False,False,True,True,False,False,12.84979,80.25358,9200,9513,18131778,17406507,48351,3.2,75,68,69,52,90,Active,2026-02-09
26,3 BHK Apartment in Porur,5,Porur,porur,Chennai,Apartment,1631,3,2,15,9,24,"[""Swimming Pool"", ""Gymnasium"", ""Children Play Area""]",3,False,False,False,True,True,False,13.04516,80.16047,6400,5595,9125445,9125445,32700,4.3,85,42,81,58,65,Sold,2026-03-25
27,3 BHK Gated Community Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Gated Community Apartment,1548,3,2,13,18,18,"[""Swimming Pool"", ""Gymnasium"", ""Intercom"", ""Covered Car Parking"", ""EV Charging Station"", ""24/7 Security""]",6,True,False,True,True,True,False,12.94093,80.1352,5100,5334,8257032,7926751,26147,3.8,79,32,84,54,60,Active,2026-05-18
28,3 BHK Independent House in Tambaram,3,Tambaram,tambaram,Chennai,Independent House,1271,3,3,13,1,2,"[""Covered Car Parking""]",1,True,False,False,False,False,False,12.93374,80.137,5100,4423,5621633,5509200,17802,3.8,79,32,84,54,60,Active,2026-06-04
29,3 BHK Apartment in Guindy,6,Guindy,guindy,Chennai,Apartment,1696,3,2,5,3,11,"[""Swimming Pool"", ""Clubhouse"", ""Covered Car Parking"", ""Children Play Area""]",4,True,False,False,False,True,True,13.01975,80.19633,11500,11058,18754368,19129455,60952,3.9,96,30,78,45,52,Active,2026-07-24
30,3 BHK Independent House in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Independent House,1542,3,3,3,1,2,"[""Power Backup"", ""Rainwater Harvesting"", ""EV Charging Station"", ""Clubhouse""]",4,False,True,False,False,False,True,13.08449,80.21273,14200,14682,22639644,22639644,52826,2.8,94,22,86,42,48,Active,2026-07-08
31,1 BHK Gated Community Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Gated Community Apartment,569,1,1,8,11,16,"[""Gymnasium"", ""24/7 Security"", ""Covered Car Parking"", ""EV Charging Station"", ""Intercom"", ""Power Backup"", ""Clubhouse"", ""Swimming Pool""]",8,True,True,True,True,True,True,13.09648,80.21462,14200,16258,9250802,8880770,21585,2.8,94,22,86,42,48,Active,2026-03-06
32,4 BHK Apartment in Perungudi,10,Perungudi,perungudi,Chennai,Apartment,2271,4,3,13,5,7,"[""Covered Car Parking"", ""Children Play Area"", ""Gymnasium""]",3,True,False,False,True,False,False,12.97492,80.23628,7500,6810,15465510,15774820,57996,4.5,86,58,77,60,72,Active,2026-02-09
33,3 BHK Gated Community Apartment in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Gated Community Apartment,1281,3,2,2,7,15,"[""Covered Car Parking"", ""Rainwater Harvesting"", ""Gymnasium"", ""Intercom"", ""Clubhouse"", ""24/7 Security"", ""Children Play Area""]",7,True,False,True,True,False,True,12.89818,80.23842,6200,7586,9717666,10495079,33202,4.1,88,45,68,82,115,Active,2026-04-23
34,3 BHK Apartment in Porur,5,Porur,porur,Chennai,Apartment,1476,3,3,9,6,16,"[""Intercom"", ""Swimming Pool"", ""24/7 Security"", ""Clubhouse""]",4,False,False,True,False,True,True,13.03682,80.15662,6400,6096,8997696,8817742,32242,4.3,85,42,81,58,65,Active,2026-05-20
35,2 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,1076,2,2,15,7,18,"[""Gymnasium"", ""24/7 Security""]",2,False,False,True,True,False,False,12.98805,80.24942,15800,12928,13910528,14606054,30139,2.6,93,38,88,38,42,Active,2026-05-11
36,3 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,1520,3,3,4,4,11,"[""Swimming Pool""]",1,False,False,False,False,True,False,12.97079,80.21062,7800,8101,12313520,12067250,47202,4.6,82,78,79,62,75,Active,2026-05-28
37,2 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,1172,2,2,12,7,22,"[""Children Play Area"", ""Power Backup"", ""Clubhouse"", ""Covered Car Parking""]",4,True,True,False,False,False,True,12.9703,80.22992,7800,7275,8526300,9208404,32684,4.6,82,78,79,62,75,Sold,2026-07-28
38,3 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,1504,3,2,1,15,20,"[""Power Backup"", ""Gymnasium"", ""EV Charging Station"", ""Intercom"", ""Rainwater Harvesting""]",5,False,True,False,True,False,False,12.98375,80.2186,7800,9188,13818752,14924252,52972,4.6,82,78,79,62,75,Active,2026-05-20
39,4 BHK Apartment in Guindy,6,Guindy,guindy,Chennai,Apartment,2453,4,4,5,15,21,"[""EV Charging Station"", ""24/7 Security"", ""Power Backup"", ""Children Play Area""]",4,False,True,True,False,False,False,13.00654,80.19325,11500,11757,28839921,31147115,93730,3.9,96,30,78,45,52,Sold,2026-07-17
40,3 BHK Apartment in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Apartment,1561,3,3,9,6,6,"[""24/7 Security"", ""Covered Car Parking""]",2,True,False,True,False,False,False,12.90918,80.24742,6100,5356,8360716,8360716,30656,4.4,84,62,72,78,105,Active,2026-01-05
41,2 BHK Independent House in Tambaram,3,Tambaram,tambaram,Chennai,Independent House,1725,2,2,8,1,3,"[""Children Play Area""]",1,False,False,False,False,False,False,12.9295,80.12548,5100,4807,8292075,8457916,26258,3.8,79,32,84,54,60,Active,2026-04-14
42,2 BHK Gated Community Apartment in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Gated Community Apartment,1065,2,2,12,1,16,"[""Swimming Pool"", ""Covered Car Parking"", ""24/7 Security"", ""Children Play Area"", ""Power Backup""]",5,True,True,True,False,True,False,12.88707,80.22585,6200,6277,6685005,6818705,22840,4.1,88,45,68,82,115,Active,2026-06-18
43,3 BHK Apartment in Perungudi,10,Perungudi,perungudi,Chennai,Apartment,1779,3,2,15,7,12,"[""Children Play Area""]",1,False,False,False,False,False,False,12.95753,80.25387,7500,6151,10942629,10942629,41035,4.5,86,58,77,60,72,Active,2026-07-13
44,2 BHK Apartment in T. Nagar,12,T. Nagar,t-nagar,Chennai,Apartment,1089,2,2,12,1,8,"[""Rainwater Harvesting"", ""Swimming Pool"", ""Gymnasium"", ""Covered Car Parking"", ""Power Backup""]",5,True,True,False,True,True,False,13.04915,80.22154,14800,13322,14507658,14217505,41105,3.4,95,40,85,36,45,Active,2026-02-02
45,4 BHK Villa in Porur,5,Porur,porur,Chennai,Villa,3066,4,4,5,1,3,"[""Children Play Area"", ""24/7 Security"", ""Rainwater Harvesting"", ""Clubhouse""]",4,False,False,True,False,False,True,13.02551,80.15543,6400,7779,23850414,22896397,85464,4.3,85,42,81,58,65,Active,2026-06-18
46,4 BHK Independent House in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Independent House,2533,4,4,22,1,1,"[""Swimming Pool""]",1,False,False,False,False,True,False,12.89394,80.21743,6200,4602,11656866,11190591,39828,4.1,88,45,68,82,115,Active,2026-02-27
47,4 BHK Villa in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Villa,3177,4,4,7,1,2,"[""Gymnasium"", ""Power Backup"", ""EV Charging Station"", ""Covered Car Parking"", ""Clubhouse"", ""Children Play Area"", ""Rainwater Harvesting""]",7,True,True,False,True,False,True,12.8856,80.23928,6200,7895,25082415,26336536,85698,4.1,88,45,68,82,115,Active,2026-06-23
48,4 BHK Independent House in Velachery,2,Velachery,velachery,Chennai,Independent House,1770,4,4,5,1,2,"[""Swimming Pool"", ""24/7 Security"", ""Children Play Area"", ""Power Backup"", ""Covered Car Parking""]",5,True,True,True,False,True,False,12.9769,80.21776,7800,7858,13908660,13630487,53317,4.6,82,78,79,62,75,Sold,2026-06-27
49,2 BHK Gated Community Apartment in Adyar,11,Adyar,adyar,Chennai,Gated Community Apartment,1206,2,2,3,11,13,"[""Rainwater Harvesting"", ""Swimming Pool"", ""Covered Car Parking"", ""24/7 Security"", ""Power Backup"", ""Clubhouse"", ""Intercom"", ""Children Play Area""]",8,True,True,True,False,True,True,13.00427,80.25423,15800,19950,24059700,25984476,52129,2.6,93,38,88,38,42,Active,2026-07-14
50,2 BHK Apartment in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Apartment,1035,2,2,4,15,24,"[""Clubhouse"", ""Intercom"", ""24/7 Security"", ""EV Charging Station""]",4,False,False,True,False,False,True,12.88978,80.2419,6100,6536,6764760,7102998,24804,4.4,84,62,72,78,105,Active,2026-04-14
51,3 BHK Gated Community Apartment in T. Nagar,12,T. Nagar,t-nagar,Chennai,Gated Community Apartment,1610,3,2,14,3,6,"[""EV Charging Station"", ""Children Play Area"", ""Covered Car Parking""]",3,True,False,False,False,False,False,13.04781,80.24008,14800,13868,22327480,21434381,63261,3.4,95,40,85,36,45,Active,2026-03-06
52,2 BHK Apartment in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Apartment,982,2,2,8,5,14,"[""Swimming Pool"", ""Intercom"", ""Power Backup"", ""Rainwater Harvesting"", ""Gymnasium""]",5,False,True,False,True,True,False,12.89864,80.23788,6100,5848,5742736,6202155,21057,4.4,84,62,72,78,105,Active,2026-05-25
53,3 BHK Independent House in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Independent House,3110,3,3,2,1,2,"[""24/7 Security""]",1,False,False,True,False,False,False,13.07874,80.22788,14200,14202,44168220,43284856,103059,2.8,94,22,86,42,48,Active,2026-02-10
54,3 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,1764,3,3,11,11,17,"[""24/7 Security"", ""Rainwater Harvesting"", ""Intercom"", ""Gymnasium""]",4,False,False,True,True,False,False,13.00627,80.25981,15800,14273,25177572,24170469,54551,2.6,93,38,88,38,42,Active,2026-03-04
55,2 BHK Apartment in T. Nagar,12,T. Nagar,t-nagar,Chennai,Apartment,1240,2,2,6,4,9,"[""24/7 Security"", ""Intercom"", ""Rainwater Harvesting"", ""Swimming Pool""]",4,False,False,True,False,True,False,13.05479,80.2218,14800,15455,19164200,18780916,54299,3.4,95,40,85,36,45,Sold,2026-03-06
56,1 BHK Apartment in Porur,5,Porur,porur,Chennai,Apartment,656,1,1,1,5,8,"[""Intercom""]",1,False,False,False,False,False,False,13.03749,80.17714,6400,6584,4319104,4319104,15477,4.3,85,42,81,58,65,Active,2026-02-21
57,3 BHK Penthouse in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Penthouse,2850,3,4,7,21,21,"[""EV Charging Station"", ""Covered Car Parking"", ""Clubhouse"", ""Swimming Pool"", ""Rainwater Harvesting""]",5,True,False,False,False,True,True,12.89482,80.21642,6100,8414,23979900,24459498,87926,4.4,84,62,72,78,105,Sold,2026-01-13
58,3 BHK Villa in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Villa,4778,3,3,2,1,2,"[""Rainwater Harvesting"", ""24/7 Security"", ""Gymnasium""]",3,False,False,True,True,False,False,12.90555,80.24093,6100,7182,34315596,33629284,125824,4.4,84,62,72,78,105,Sold,2026-07-14
59,3 BHK Apartment in Perungudi,10,Perungudi,perungudi,Chennai,Apartment,1913,3,2,14,13,20,"[""24/7 Security"", ""Children Play Area"", ""Rainwater Harvesting"", ""EV Charging Station""]",4,False,False,True,False,False,False,12.95971,80.24141,7500,6570,12568410,13196830,47132,4.5,86,58,77,60,72,Sold,2026-06-04
60,3 BHK Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Apartment,1550,3,2,5,4,9,"[""Gymnasium"", ""Clubhouse"", ""Swimming Pool"", ""Power Backup"", ""Children Play Area""]",5,False,True,False,True,True,True,13.08687,80.19765,14200,14407,22330850,24117318,52105,2.8,94,22,86,42,48,Active,2026-03-02
61,2 BHK Gated Community Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Gated Community Apartment,994,2,2,7,3,18,"[""Rainwater Harvesting"", ""Power Backup"", ""Children Play Area"", ""Swimming Pool""]",4,False,True,False,False,True,False,13.10194,80.20072,14200,15303,15211182,15971741,35493,2.8,94,22,86,42,48,Sold,2026-02-09
62,2 BHK Independent House in Tambaram,3,Tambaram,tambaram,Chennai,Independent House,1779,2,2,21,1,2,"[""24/7 Security"", ""EV Charging Station"", ""Gymnasium"", ""Power Backup"", ""Covered Car Parking""]",5,True,True,True,True,False,False,12.93828,80.13085,5100,3899,6936321,6936321,21965,3.8,79,32,84,54,60,Active,2026-03-17
63,2 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,891,2,2,13,2,23,"[""Rainwater Harvesting"", ""24/7 Security"", ""Swimming Pool""]",3,False,False,True,False,True,False,12.84955,80.23707,9200,8194,7300854,7008820,19469,3.2,75,68,69,52,90,Sold,2026-06-27
64,3 BHK Apartment in Perungudi,10,Perungudi,perungudi,Chennai,Apartment,1301,3,3,5,2,22,"[""Intercom"", ""EV Charging Station"", ""24/7 Security"", ""Gymnasium""]",4,False,False,True,True,False,False,12.96451,80.23887,7500,7707,10026807,10528147,37601,4.5,86,58,77,60,72,Active,2026-07-16
65,4 BHK Villa in Velachery,2,Velachery,velachery,Chennai,Villa,3872,4,4,5,1,3,"[""Gymnasium"", ""Clubhouse"", ""Covered Car Parking"", ""Power Backup"", ""EV Charging Station"", ""Children Play Area"", ""Intercom""]",7,True,True,False,True,False,True,12.96618,80.21693,7800,10660,41275520,44577562,158223,4.6,82,78,79,62,75,Active,2026-07-25
66,1 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,542,1,1,10,5,14,"[""Children Play Area""]",1,False,False,False,False,False,False,12.8647,80.24613,9200,7871,4266082,4479386,11376,3.2,75,68,69,52,90,Active,2026-01-22
67,2 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,877,2,2,11,9,10,"[""EV Charging Station"", ""Rainwater Harvesting"", ""Swimming Pool"", ""Gymnasium"", ""Clubhouse""]",5,False,False,False,True,True,True,12.8568,80.24078,9200,8552,7500104,7875109,20000,3.2,75,68,69,52,90,Sold,2026-03-15
68,2 BHK Gated Community Apartment in T. Nagar,12,T. Nagar,t-nagar,Chennai,Gated Community Apartment,864,2,2,7,20,24,"[""Clubhouse"", ""24/7 Security"", ""Swimming Pool"", ""Intercom"", ""Power Backup"", ""EV Charging Station"", ""Gymnasium""]",7,False,True,True,True,True,True,13.04746,80.24175,14800,17398,15031872,14430597,42590,3.4,95,40,85,36,45,Active,2026-01-21
69,2 BHK Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Apartment,1216,2,2,8,9,13,"[""EV Charging Station"", ""Rainwater Harvesting"", ""Power Backup"", ""Intercom""]",4,False,True,False,False,False,False,12.91778,80.12187,5100,4804,5841664,6133747,18499,3.8,79,32,84,54,60,Sold,2026-02-20
70,3 BHK Gated Community Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Gated Community Apartment,1419,3,2,10,7,12,"[""Intercom"", ""24/7 Security"", ""Swimming Pool"", ""Clubhouse"", ""Covered Car Parking"", ""Children Play Area"", ""Power Backup"", ""EV Charging Station""]",8,True,True,True,False,True,True,12.84031,80.24906,9200,9903,14052357,14333404,37473,3.2,75,68,69,52,90,Active,2026-03-11
71,3 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,1666,3,3,6,14,14,"[""Rainwater Harvesting"", ""Children Play Area""]",2,False,False,False,False,False,False,12.84595,80.25169,9200,9953,16581698,16250064,44218,3.2,75,68,69,52,90,Active,2026-04-02
72,3 BHK Apartment in Guindy,6,Guindy,guindy,Chennai,Apartment,1670,3,3,15,5,24,"[""Clubhouse""]",1,False,False,False,False,False,True,13.00735,80.20171,11500,9727,16244090,17056294,52793,3.9,96,30,78,45,52,Active,2026-03-28
73,3 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,1730,3,2,0,15,20,"[""Children Play Area"", ""Clubhouse""]",2,False,False,False,False,False,True,12.9807,80.21714,7800,8586,14853780,14259629,56939,4.6,82,78,79,62,75,Active,2026-03-11
74,3 BHK Apartment in Perungudi,10,Perungudi,perungudi,Chennai,Apartment,1945,3,2,12,14,14,"[""EV Charging Station"", ""Intercom"", ""Swimming Pool""]",3,False,False,False,False,True,False,12.96969,80.23891,7500,6925,13469125,14142581,50509,4.5,86,58,77,60,72,Sold,2026-06-22
75,4 BHK Apartment in Porur,5,Porur,porur,Chennai,Apartment,2764,4,3,3,4,17,"[""Clubhouse"", ""24/7 Security"", ""Swimming Pool"", ""EV Charging Station""]",4,False,False,True,False,True,True,13.03956,80.1547,6400,6632,18330848,18330848,65686,4.3,85,42,81,58,65,Active,2026-03-12
76,2 BHK Gated Community Apartment in Guindy,6,Guindy,guindy,Chennai,Gated Community Apartment,975,2,2,5,14,20,"[""Clubhouse"", ""Gymnasium"", ""Children Play Area""]",3,False,False,False,True,False,True,13.0065,80.20904,11500,12813,12492675,13117309,40601,3.9,96,30,78,45,52,Active,2026-04-19
77,2 BHK Independent House in Tambaram,3,Tambaram,tambaram,Chennai,Independent House,2140,2,2,10,1,2,"[""EV Charging Station""]",1,False,False,False,False,False,False,12.92914,80.10729,5100,4437,9495180,9495180,30068,3.8,79,32,84,54,60,Active,2026-02-03
78,3 BHK Apartment in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Apartment,1881,3,3,8,14,24,"[""24/7 Security"", ""Power Backup"", ""Children Play Area"", ""EV Charging Station""]",4,False,True,True,False,False,False,12.89612,80.2264,6100,6106,11485386,11715094,42113,4.4,84,62,72,78,105,Sold,2026-04-19
79,3 BHK Apartment in Guindy,6,Guindy,guindy,Chennai,Apartment,1582,3,2,0,9,16,"[""Swimming Pool"", ""EV Charging Station"", ""24/7 Security"", ""Children Play Area"", ""Gymnasium""]",5,False,False,True,True,True,False,13.00713,80.18808,11500,12954,20493228,21517889,66603,3.9,96,30,78,45,52,Active,2026-02-21
80,3 BHK Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Apartment,1420,3,2,1,21,24,"[""EV Charging Station"", ""Swimming Pool"", ""Covered Car Parking""]",3,True,False,False,False,True,False,13.07749,80.20895,14200,15139,21497380,23217170,50161,2.8,94,22,86,42,48,Sold,2026-03-11
81,3 BHK Independent House in T. Nagar,12,T. Nagar,t-nagar,Chennai,Independent House,1922,3,3,19,1,1,"[""Intercom"", ""Rainwater Harvesting"", ""24/7 Security""]",3,False,False,True,False,False,False,13.03154,80.22637,14800,12198,23444556,22975665,66426,3.4,95,40,85,36,45,Sold,2026-07-16
82,3 BHK Apartment in Porur,5,Porur,porur,Chennai,Apartment,1626,3,2,4,3,18,"[""Children Play Area"", ""Intercom""]",2,False,False,False,False,False,False,13.03649,80.16843,6400,6438,10468188,10468188,37511,4.3,85,42,81,58,65,Sold,2026-04-01
83,2 BHK Apartment in Porur,5,Porur,porur,Chennai,Apartment,1082,2,2,8,11,15,"[""Children Play Area"", ""Covered Car Parking"", ""Gymnasium"", ""Intercom"", ""EV Charging Station""]",5,True,False,False,True,False,False,13.03491,80.15356,6400,6280,6794960,6930859,24349,4.3,85,42,81,58,65,Sold,2026-05-11
